emgT,emg,rms,mnf,mdf
189.000000,-0.022450,0.034965,13.464778,3.906250
190.000000,-0.019322,0.034854,13.432094,3.906250
191.000000,-0.018788,0.034731,13.412155,3.906250
192.000000,-0.017796,0.034596,13.400564,3.906250
193.000000,-0.017872,0.034496,13.394043,3.906250
194.000000,-0.020542,0.034407,13.398281,3.906250
195.000000,-0.022145,0.034300,13.407848,3.906250
196.000000,-0.020314,0.034225,13.421331,3.906250
197.000000,-0.019627,0.034153,13.442455,3.906250
198.000000,-0.017414,0.034070,13.465132,3.906250
199.000000,-0.016880,0.033980,13.491467,3.906250
200.000000,-0.027829,0.033751,13.529498,3.906250
201.000000,-0.029202,0.033492,13.579114,3.906250
202.000000,-0.028439,0.033249,13.631706,3.906250
203.000000,-0.030270,0.032986,13.695889,3.906250
204.000000,-0.029583,0.032752,13.758051,3.906250
205.000000,-0.027523,0.032556,13.822506,3.906250
206.000000,-0.030423,0.032354,13.894029,3.906250
207.000000,-0.031109,0.032182,13.972980,3.906250
208.000000,-0.027447,0.031959,14.072747,3.906250
209.000000,-0.027142,0.031724,14.179784,3.906250
210.000000,-0.028134,0.031490,14.286851,3.906250
211.000000,-0.028210,0.031300,14.393959,3.906250
212.000000,-0.026684,0.031056,14.502066,3.906250
213.000000,-0.024777,0.030864,14.612372,3.906250
214.000000,-0.025235,0.030672,14.731814,3.906250
215.000000,-0.030575,0.030429,14.853853,3.906250
216.000000,-0.026150,0.030209,14.970194,3.906250
217.000000,-0.026379,0.029998,15.082156,3.906250
218.000000,-0.025006,0.029769,15.198397,3.906250
219.000000,-0.026608,0.029611,15.310440,3.906250
220.000000,-0.024701,0.029425,15.420749,3.906250
221.000000,-0.025006,0.029235,15.531549,3.906250
222.000000,-0.024701,0.029032,15.639546,3.906250
223.000000,-0.025845,0.028806,15.751149,3.906250
224.000000,-0.024624,0.028613,15.856112,3.906250
225.000000,-0.020886,0.028446,15.957349,3.906250
226.000000,-0.025463,0.028258,16.055695,3.906250
227.000000,-0.023938,0.028063,16.150972,3.906250
228.000000,-0.026226,0.027905,16.240274,3.906250
229.000000,-0.024319,0.027719,16.329086,7.812500
230.000000,-0.024548,0.027539,16.413095,7.812500
231.000000,-0.022641,0.027394,16.491446,7.812500
232.000000,-0.022641,0.027257,16.567888,7.812500
233.000000,-0.021267,0.027118,16.637623,7.812500
234.000000,-0.022335,0.026982,16.705835,7.812500
235.000000,-0.024853,0.026794,16.767815,7.812500
236.000000,-0.025235,0.026655,16.816372,7.812500
237.000000,-0.021954,0.026515,16.859257,7.812500
238.000000,-0.024548,0.026398,16.900076,7.812500
239.000000,-0.020504,0.026271,16.936005,7.812500
240.000000,-0.021420,0.026174,16.970173,7.812500
241.000000,-0.020886,0.026037,17.002174,7.812500
242.000000,-0.020886,0.025888,17.030863,7.812500
243.000000,-0.023404,0.025761,17.057753,7.812500
244.000000,-0.019741,0.025649,17.081287,7.812500
245.000000,-0.017224,0.025535,17.100784,7.812500
246.000000,-0.021725,0.025430,17.117968,7.812500
247.000000,-0.022641,0.025336,17.131670,7.812500
248.000000,-0.022717,0.025228,17.142601,7.812500
249.000000,-0.019741,0.025103,17.150671,7.812500
250.000000,-0.019131,0.024968,17.155764,7.812500
251.000000,-0.016461,0.024851,17.158844,7.812500
252.000000,-0.019207,0.024752,17.158701,7.812500
253.000000,-0.018139,0.024659,17.155899,7.812500
254.000000,-0.020657,0.024587,17.150623,7.812500
