icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT,accX_,accY_,accZ_,gyrX_,gyrY_,gyrZ_,magX_,magY_,magZ_,roll,pitch,yaw,roll_,pitch_,yaw_
162880.000000,-0.030762,-0.200195,-0.821777,16288.000000,108.150482,-80.200195,-34.667969,16288.000000,36.637756,7.820465,33.356308,16288.000000,0.387776,-0.000882,-0.921753,15.628178,-43.343063,-11.051142,0.707427,0.086487,0.701474,28.816805,80.687241,15.120356,28.816805,80.687241,15.120356
162890.000000,-0.047852,-0.208008,-0.868164,16289.000000,108.028412,-82.580566,-30.761719,16289.000000,38.137756,7.670471,33.206314,16289.000000,0.348481,-0.020556,-0.937091,7.961267,-39.078022,-5.047470,0.712129,0.100108,0.694874,30.274418,79.789688,13.899199,30.274418,79.789688,13.899199
162900.000000,0.003418,-0.175781,-0.912597,16290.000000,110.103607,-84.350586,-28.625488,16290.000000,39.035309,8.870468,31.256317,16290.000000,0.305022,-0.043042,-0.951372,3.017926,-34.444118,-1.228282,0.718081,0.113528,0.686638,31.588818,78.863068,12.693726,31.588818,78.863068,12.693726
162910.000000,0.004395,-0.151367,-0.929687,16291.000000,116.451263,-85.388184,-30.883789,16291.000000,39.035309,10.219498,29.909241,16291.000000,0.260808,-0.065423,-0.963171,2.570277,-29.373457,-1.932735,0.725822,0.127185,0.676022,32.778065,77.866867,11.513665,32.778065,77.866867,11.513665
162920.000000,0.001465,-0.148926,-0.897949,16292.000000,120.845795,-83.801270,-33.447266,16292.000000,38.135315,10.219498,29.909241,16292.000000,0.218587,-0.085619,-0.972054,0.282729,-22.112473,-2.861903,0.734710,0.141556,0.663447,33.822487,76.824570,10.390368,33.822487,76.824570,10.390368
162930.000000,-0.091797,-0.198730,-0.885254,16293.000000,128.047943,-82.031250,-34.362793,16293.000000,39.485306,11.119492,29.009247,16293.000000,0.178951,-0.103552,-0.978393,0.874216,-15.210139,-2.124920,0.743744,0.156212,0.649956,34.681667,75.712379,9.326245,34.681667,75.712379,9.326245
162940.000000,-0.147461,-0.241699,-0.862305,16294.000000,132.503510,-77.209473,-31.860352,16294.000000,39.485306,12.769485,28.559235,16294.000000,0.140565,-0.120600,-0.982699,-1.215116,-5.918058,1.826865,0.752617,0.171218,0.635808,35.287693,74.559669,8.353251,35.287693,74.559669,8.353251
162950.000000,-0.196289,-0.325684,-0.886230,16295.000000,135.616302,-72.875977,-27.160645,16295.000000,40.835312,12.769485,28.559235,16295.000000,0.102110,-0.138491,-0.985086,-4.406632,2.139272,7.537530,0.761124,0.186777,0.621131,35.576145,73.379387,7.468772,35.576145,73.379387,7.468772
162960.000000,-0.217285,-0.364746,-0.894531,16296.000000,135.738373,-69.702148,-20.751953,16296.000000,41.435318,14.269485,27.509247,16296.000000,0.063320,-0.158521,-0.985323,-10.170897,8.394178,14.368885,0.769206,0.202459,0.606080,35.503464,72.198769,6.661513,35.503464,72.198769,6.661513
162970.000000,-0.164551,-0.362793,-0.987793,16297.000000,139.583588,-64.453125,-17.089844,16297.000000,41.435318,14.868515,25.857285,16297.000000,0.025361,-0.180428,-0.983261,-11.845278,16.070560,17.937889,0.777075,0.218254,0.590355,35.120895,70.978912,5.948634,35.120895,70.978912,5.948634
162980.000000,-0.124023,-0.361328,-0.990234,16298.000000,140.499115,-60.913086,-13.793945,16298.000000,40.385315,14.868515,25.857285,16298.000000,-0.009284,-0.202610,-0.979216,-16.134909,21.398821,20.785362,0.784540,0.234032,0.574218,34.501190,69.748642,5.309238,34.501190,69.748642,5.309238
162990.000000,-0.119141,-0.368164,-0.971679,16299.000000,138.240814,-55.969238,-13.549805,16299.000000,40.835312,15.618515,25.257294,16299.000000,-0.038771,-0.223827,-0.973857,-23.034750,27.535994,20.393049,0.791069,0.249232,0.558654,33.747414,68.540031,4.751420,33.747414,68.540031,4.751420
163000.000000,-0.054199,-0.401367,-0.978515,16300.000000,139.583588,-51.086426,-15.319824,16300.000000,40.835312,15.018509,23.907288,16300.000000,-0.062336,-0.243871,-0.967802,-25.816313,32.988922,18.030401,0.796758,0.263323,0.543909,32.935829,67.318451,4.266162,32.935829,67.318451,4.266162
163010.000000,-0.061523,-0.448242,-0.986328,16301.000000,147.151947,-45.532227,-16.479492,16301.000000,42.185318,15.018509,23.907288,16301.000000,-0.079673,-0.263241,-0.961435,-22.308779,38.495773,16.384329,0.802276,0.275455,0.529601,32.101833,66.023743,3.848765,32.101833,66.023743,3.848765
163020.000000,-0.123535,-0.455078,-0.921386,16302.000000,151.729584,-46.264648,-11.962891,16302.000000,41.285309,16.818512,23.757294,16302.000000,-0.092009,-0.282500,-0.954845,-21.875927,37.375519,20.245899,0.807610,0.285729,0.515872,31.216227,64.686691,3.429333,31.216227,64.686691,3.429333
163030.000000,-0.145996,-0.454590,-0.900390,16303.000000,146.419525,-43.579102,-8.605957,16303.000000,41.287262,16.518509,21.507294,16303.000000,-0.101629,-0.301700,-0.947971,-30.855221,39.478714,22.593363,0.812420,0.295370,0.502723,30.303915,63.404964,3.042149,30.303915,63.404964,3.042149
163040.000000,-0.062012,-0.436035,-0.982422,16304.000000,140.926361,-44.616699,-8.178711,16304.000000,43.087265,16.522415,21.512665,16304.000000,-0.109166,-0.320171,-0.941049,-39.129612,37.692554,21.853489,0.817218,0.304447,0.489354,29.401442,62.179993,2.651745,29.401442,62.179993,2.651745
163050.000000,-0.018066,-0.447266,-0.991211,16305.000000,135.128021,-48.461914,-8.361816,16305.000000,43.237259,17.722427,20.762665,16305.000000,-0.113379,-0.337020,-0.934646,-46.844532,33.230225,20.510117,0.822436,0.312545,0.475305,28.523481,61.015568,2.231661,28.523481,61.015568,2.231661
163060.000000,-0.008789,-0.502930,-0.975097,16306.000000,128.292084,-49.194336,-10.986328,16306.000000,42.787262,18.922424,20.912659,16306.000000,-0.113571,-0.352376,-0.928942,-54.718987,31.999254,16.868149,0.827469,0.320526,0.461041,27.703396,59.922527,1.815785,27.703396,59.922527,1.815785
163070.000000,0.006836,-0.533203,-0.964355,16307.000000,121.212006,-46.508789,-13.854980,16307.000000,42.787262,19.372421,18.812653,16307.000000,-0.110196,-0.367226,-0.923581,-61.950687,34.021461,13.238564,0.831751,0.329411,0.446854,26.951042,58.902534,1.441929,26.951042,58.902534,1.441929
163080.000000,0.028320,-0.593262,-0.954590,16308.000000,123.775482,-39.855957,-17.333984,16308.000000,43.387268,19.372421,18.812653,16308.000000,-0.103818,-0.382450,-0.918125,-59.108944,39.538055,9.283729,0.835500,0.339074,0.432400,26.278151,57.859196,1.149967,26.278151,57.859196,1.149967
163090.000000,-0.077637,-0.654785,-0.952148,16309.000000,129.512787,-35.522461,-18.310547,16309.000000,44.581406,19.522415,17.612656,16309.000000,-0.095311,-0.398807,-0.912068,-52.957638,42.217651,8.023763,0.839195,0.348539,0.417459,25.663210,56.757442,0.914706,25.663210,56.757442,0.914706
163100.000000,-0.132812,-0.754883,-0.901367,16310.000000,129.207611,-38.024902,-17.028809,16310.000000,43.381409,20.416077,17.458267,16310.000000,-0.086833,-0.417228,-0.904644,-53.492950,37.971020,9.000766,0.842887,0.357415,0.402240,25.081697,55.660870,0.667674,25.081697,55.660870,0.667674
163110.000000,-0.135254,-0.755371,-0.900879,16311.000000,133.785248,-39.855957,-13.854980,16311.000000,44.581406,20.716080,14.758270,16311.000000,-0.080620,-0.438212,-0.895249,-48.818077,34.584179,11.670555,0.846476,0.366158,0.386532,24.507355,54.514935,0.415357,24.507355,54.514935,0.415357
163120.000000,-0.166992,-0.741699,-0.820312,16312.000000,133.907318,-45.532227,-9.704590,16312.000000,44.581406,21.166077,15.958267,16312.000000,-0.077386,-0.461089,-0.883973,-48.618149,27.676502,15.003371,0.850056,0.374817,0.370022,23.921766,53.361404,0.121062,23.921766,53.361404,0.121062
163130.000000,-0.199707,-0.709961,-0.830566,16313.000000,129.512787,-47.058105,-7.751465,16313.000000,40.981400,21.166077,15.958267,16313.000000,-0.077243,-0.484586,-0.871327,-52.571831,25.221590,15.894343,0.852871,0.383404,0.354420,23.338161,52.243340,-0.173719,23.338161,52.243340,-0.173719
163140.000000,-0.126953,-0.648437,-0.900390,16314.000000,125.545502,-48.461914,-9.277344,16314.000000,43.231400,21.616074,13.558258,16314.000000,-0.079603,-0.506944,-0.858296,-55.582012,22.996864,13.321683,0.854425,0.392257,0.340723,22.783834,51.156773,-0.468320,22.783834,51.156773,-0.468320
