emgT,emg,rms,mnf,mdf
222.000000,-0.014820,0.018456,18.524309,7.812500
223.000000,-0.016575,0.018362,18.633963,7.812500
224.000000,-0.015583,0.018270,18.738937,7.812500
225.000000,-0.014210,0.018179,18.838581,7.812500
226.000000,-0.018864,0.018092,18.934242,7.812500
227.000000,-0.017491,0.018001,19.025253,7.812500
228.000000,-0.016346,0.017905,19.109186,7.812500
229.000000,-0.016880,0.017831,19.195230,7.812500
230.000000,-0.017796,0.017764,19.267563,7.812500
231.000000,-0.016804,0.017714,19.335733,7.812500
232.000000,-0.014973,0.017608,19.404459,7.812500
233.000000,-0.012303,0.017520,19.468987,7.812500
234.000000,-0.014668,0.017442,19.530607,7.812500
235.000000,-0.017109,0.017392,19.583517,7.812500
236.000000,-0.014591,0.017312,19.620758,7.812500
237.000000,-0.014286,0.017238,19.659430,7.812500
238.000000,-0.016117,0.017160,19.694149,7.812500
239.000000,-0.015278,0.017100,19.725105,7.812500
240.000000,-0.015354,0.017040,19.752329,7.812500
241.000000,-0.015126,0.016960,19.777084,7.812500
242.000000,-0.014744,0.016895,19.798891,7.812500
243.000000,-0.015354,0.016837,19.819336,7.812500
244.000000,-0.013371,0.016767,19.836180,7.812500
245.000000,-0.011311,0.016716,19.850475,7.812500
246.000000,-0.015354,0.016678,19.862949,7.812500
247.000000,-0.016957,0.016636,19.872366,7.812500
248.000000,-0.012684,0.016580,19.879068,7.812500
249.000000,-0.014591,0.016487,19.883188,7.812500
250.000000,-0.014286,0.016415,19.884995,7.812500
251.000000,-0.013066,0.016352,19.885145,7.812500
252.000000,-0.014515,0.016316,19.881788,7.812500
253.000000,-0.013828,0.016284,19.876982,7.812500
254.000000,-0.014515,0.016254,19.870371,7.812500
255.000000,-0.016499,0.016220,19.859962,7.812500
256.000000,-0.012455,0.016152,19.849850,7.812500
257.000000,-0.013218,0.016106,19.834049,7.812500
258.000000,-0.013828,0.016052,19.817858,7.812500
259.000000,-0.012989,0.016021,19.800827,7.812500
260.000000,-0.011845,0.015959,19.780344,7.812500
261.000000,-0.014134,0.015910,19.757177,7.812500
262.000000,-0.012531,0.015844,19.735098,7.812500
263.000000,-0.015660,0.015822,19.709101,7.812500
264.000000,-0.013905,0.015789,19.716370,7.812500
265.000000,-0.009709,0.015745,19.717112,7.812500
266.000000,-0.014057,0.015707,19.713799,7.812500
267.000000,-0.012455,0.015628,19.704912,7.812500
268.000000,-0.012150,0.015590,19.697334,7.812500
269.000000,-0.013218,0.015534,19.679937,7.812500
270.000000,-0.011921,0.015480,19.661879,7.812500
271.000000,-0.011997,0.015422,19.638208,7.812500
272.000000,-0.012226,0.015395,19.613880,7.812500
273.000000,-0.010014,0.015362,19.587175,7.812500
274.000000,-0.012760,0.015318,19.559307,7.812500
275.000000,-0.014439,0.015262,19.524998,7.812500
276.000000,-0.012531,0.015187,19.489050,7.812500
277.000000,-0.010624,0.015135,19.453735,7.812500
278.000000,-0.011158,0.015109,19.413671,7.812500
279.000000,-0.012837,0.015107,19.369848,7.812500
280.000000,-0.013218,0.015087,19.324408,7.812500
281.000000,-0.013371,0.015050,19.271122,7.812500
282.000000,-0.012074,0.015014,19.218382,7.812500
283.000000,-0.012989,0.014990,19.168655,7.812500
284.000000,-0.012379,0.014982,19.113253,7.812500
285.000000,-0.010395,0.014967,19.068113,7.812500
286.000000,-0.011845,0.014930,19.016394,7.812500
287.000000,-0.013218,0.014906,18.958782,7.812500
288.000000,-0.012226,0.014885,18.898172,7.812500
289.000000,-0.012608,0.014876,18.834656,7.812500
290.000000,-0.014439,0.014900,18.770220,7.812500
291.000000,-0.011845,0.014901,18.712345,7.812500
292.000000,-0.011997,0.014881,18.655106,7.812500
293.000000,-0.010166,0.014865,18.593599,7.812500
294.000000,-0.011082,0.014836,18.535973,7.812500
295.000000,-0.013447,0.014829,18.467955,7.812500
296.000000,-0.009937,0.014825,18.411049,7.812500
297.000000,-0.008793,0.014797,18.355848,7.812500
298.000000,-0.012455,0.014786,18.300503,7.812500
299.000000,-0.011006,0.014769,18.238132,7.812500
300.000000,-0.015469,0.014757,18.182264,7.812500
301.000000,-0.013256,0.014678,18.118824,7.812500
302.000000,-0.014172,0.014640,18.073088,7.812500
303.000000,-0.012341,0.014577,18.032814,7.812500
304.000000,-0.012646,0.014525,17.980770,7.812500
305.000000,-0.010204,0.014478,17.938950,7.812500
306.000000,-0.013714,0.014413,17.897791,7.812500
307.000000,-0.013638,0.014359,17.862045,7.812500
308.000000,-0.012417,0.014290,17.819683,3.906250
309.000000,-0.015164,0.014240,17.785074,3.906250
310.000000,-0.014553,0.014192,17.752108,3.906250
311.000000,-0.014324,0.014160,17.736628,3.906250
312.000000,-0.013256,0.014117,17.727352,3.906250
313.000000,-0.011349,0.014081,17.708677,3.906250
314.000000,-0.010967,0.014035,17.689329,3.906250
315.000000,-0.013333,0.013950,17.676731,3.906250
316.000000,-0.010891,0.013878,17.669645,3.906250
317.000000,-0.015774,0.013853,17.681662,3.906250
318.000000,-0.015698,0.013794,17.685757,3.906250
319.000000,-0.014248,0.013769,17.694038,3.906250
320.000000,-0.013714,0.013731,17.707815,3.906250
321.000000,-0.013943,0.013676,17.716988,3.906250
322.000000,-0.011425,0.013643,17.742342,3.906250
