emgT,emg,rms,mnf,mdf
289.000000,-0.011425,0.014791,18.512066,7.812500
290.000000,-0.009823,0.014779,18.484810,7.812500
291.000000,-0.007839,0.014752,18.455254,7.812500
292.000000,-0.008602,0.014726,18.426491,7.812500
293.000000,-0.011349,0.014728,18.394791,7.812500
294.000000,-0.009594,0.014717,18.379658,7.812500
295.000000,-0.008755,0.014684,18.371817,7.812500
296.000000,-0.004559,0.014656,18.351570,7.812500
297.000000,-0.005856,0.014641,18.326742,7.812500
298.000000,-0.010433,0.014610,18.311159,7.812500
299.000000,-0.013256,0.014581,18.295551,7.812500
300.000000,-0.017567,0.014591,18.283499,7.812500
301.000000,-0.013371,0.014591,18.280190,7.812500
302.000000,-0.005970,0.014517,18.285023,7.812500
303.000000,-0.004368,0.014467,18.285831,7.812500
304.000000,-0.012684,0.014450,18.271446,7.812500
305.000000,-0.013523,0.014398,18.266134,7.812500
306.000000,-0.017414,0.014350,18.270794,7.812500
307.000000,-0.018177,0.014340,18.281862,7.812500
308.000000,-0.018330,0.014348,18.287441,3.906250
309.000000,-0.014591,0.014368,18.295679,3.906250
310.000000,-0.015736,0.014373,18.291292,3.906250
311.000000,-0.017414,0.014394,18.294928,3.906250
312.000000,-0.020237,0.014448,18.311020,3.906250
313.000000,-0.022221,0.014522,18.343538,3.906250
314.000000,-0.018940,0.014540,18.366140,3.906250
315.000000,-0.015660,0.014509,18.387867,3.906250
316.000000,-0.013752,0.014492,18.405596,3.906250
317.000000,-0.015812,0.014503,18.426401,3.906250
318.000000,-0.021839,0.014581,18.447916,3.906250
319.000000,-0.022145,0.014614,18.481915,3.906250
320.000000,-0.018788,0.014619,18.511454,3.906250
321.000000,-0.017643,0.014609,18.554260,3.906250
322.000000,-0.014668,0.014607,18.602934,3.906250
323.000000,-0.011769,0.014557,18.659430,3.906250
324.000000,-0.011082,0.014505,18.707449,3.906250
325.000000,-0.014363,0.014449,18.751385,3.906250
326.000000,-0.017720,0.014407,18.810598,3.906250
327.000000,-0.014744,0.014347,18.866821,3.906250
328.000000,-0.010090,0.014298,18.930843,3.906250
329.000000,-0.008564,0.014252,18.993721,3.906250
330.000000,-0.010243,0.014198,19.053610,3.906250
331.000000,-0.010624,0.014113,19.127441,3.906250
332.000000,-0.010014,0.014031,19.206167,3.906250
333.000000,-0.008946,0.013939,19.284338,3.906250
334.000000,-0.009174,0.013873,19.372812,3.906250
335.000000,-0.010166,0.013812,19.468651,3.906250
336.000000,-0.007420,0.013745,19.562643,3.906250
337.000000,-0.007420,0.013708,19.652336,3.906250
338.000000,-0.011692,0.013676,19.737232,3.906250
339.000000,-0.009403,0.013617,19.822657,3.906250
340.000000,-0.008869,0.013541,19.920528,3.906250
341.000000,-0.007343,0.013506,20.030823,3.906250
342.000000,-0.009251,0.013489,20.135698,3.906250
343.000000,-0.009174,0.013473,20.230316,3.906250
344.000000,-0.010090,0.013436,20.323849,3.906250
345.000000,-0.008946,0.013408,20.398748,3.906250
346.000000,-0.010166,0.013357,20.485836,3.906250
347.000000,-0.012074,0.013345,20.572210,3.906250
348.000000,-0.009709,0.013338,20.651545,3.906250
349.000000,-0.005589,0.013327,20.724800,3.906250
350.000000,-0.008412,0.013311,20.798695,7.812500
351.000000,-0.010014,0.013262,20.873171,7.812500
352.000000,-0.010929,0.013231,20.943035,7.812500
353.000000,-0.012913,0.013218,21.013681,7.812500
354.000000,-0.013981,0.013226,21.078598,7.812500
355.000000,-0.010929,0.013210,21.139530,7.812500
356.000000,-0.010166,0.013172,21.198729,7.812500
357.000000,-0.008183,0.013141,21.254271,7.812500
358.000000,-0.012379,0.013104,21.291361,7.812500
359.000000,-0.011921,0.013074,21.333431,7.812500
360.000000,-0.009022,0.013056,21.382736,7.812500
361.000000,-0.006123,0.013029,21.418644,7.812500
362.000000,-0.002918,0.012991,21.451544,7.812500
363.000000,-0.008793,0.012922,21.477318,7.812500
364.000000,-0.015049,0.012895,21.491682,7.812500
365.000000,-0.015202,0.012867,21.502829,7.812500
366.000000,-0.010014,0.012807,21.512154,7.812500
367.000000,-0.012379,0.012749,21.522579,7.812500
368.000000,-0.008564,0.012673,21.531538,7.812500
369.000000,-0.006657,0.012668,21.538754,7.812500
370.000000,-0.002995,0.012647,21.544409,7.812500
371.000000,-0.004749,0.012617,21.545923,7.812500
372.000000,-0.008564,0.012536,21.543932,7.812500
373.000000,-0.010014,0.012473,21.539709,7.812500
374.000000,-0.009861,0.012408,21.536894,7.812500
375.000000,-0.008640,0.012361,21.532244,7.812500
376.000000,-0.011997,0.012331,21.529140,7.812500
377.000000,-0.009632,0.012310,21.524204,7.812500
378.000000,-0.011692,0.012277,21.519119,7.812500
379.000000,-0.011082,0.012241,21.513491,7.812500
380.000000,-0.010090,0.012215,21.505442,7.812500
381.000000,-0.009632,0.012187,21.496710,7.812500
382.000000,-0.010319,0.012186,21.489435,7.812500
383.000000,-0.010319,0.012166,21.482822,7.812500
384.000000,-0.011311,0.012143,21.476027,7.812500
385.000000,-0.011463,0.012128,21.468124,7.812500
386.000000,-0.015049,0.012146,21.459509,7.812500
387.000000,-0.015660,0.012167,21.447290,7.812500
388.000000,-0.014439,0.012189,21.437990,7.812500
389.000000,-0.009098,0.012170,21.429049,7.812500
390.000000,-0.011845,0.012187,21.421329,7.812500
391.000000,-0.015965,0.012267,21.416103,7.812500
392.000000,-0.014591,0.012323,21.433157,7.812500
393.000000,-0.014286,0.012354,21.447056,7.812500
394.000000,-0.014439,0.012401,21.458933,7.812500
395.000000,-0.012913,0.012437,21.476982,7.812500
396.000000,-0.011387,0.012481,21.496407,7.812500
397.000000,-0.009937,0.012506,21.511425,7.812500
398.000000,-0.013600,0.012537,21.528496,7.812500
399.000000,-0.013828,0.012543,21.537266,7.812500
400.000000,-0.014134,0.012500,21.540110,7.812500
401.000000,-0.013066,0.012496,21.541775,7.812500
402.000000,-0.012684,0.012546,21.556372,7.812500
403.000000,-0.012608,0.012602,21.570234,7.812500
404.000000,-0.009937,0.012577,21.577785,7.812500
405.000000,-0.010395,0.012547,21.586617,7.812500
406.000000,-0.013676,0.012501,21.591444,7.812500
407.000000,-0.015660,0.012467,21.591890,7.812500
408.000000,-0.010319,0.012375,21.593405,7.812500
409.000000,-0.008335,0.012316,21.593788,7.812500
410.000000,-0.011006,0.012265,21.601604,7.812500
411.000000,-0.010090,0.012183,21.604580,7.812500
412.000000,-0.013066,0.012084,21.598721,7.812500
413.000000,-0.010700,0.011926,21.590725,7.812500
414.000000,-0.011921,0.011835,21.590311,7.812500
415.000000,-0.011006,0.011782,21.590914,7.812500
416.000000,-0.011006,0.011754,21.600971,7.812500
417.000000,-0.009632,0.011687,21.608824,7.812500
418.000000,-0.009785,0.011522,21.612444,7.812500
